name,colors,Colorless,R,U,G,B,W
Anthem of Champions,"[G, W]",0,0,0,1,0,1
Anthropede,['G'],0,0,0,1,0,0
Anticausal Vestige,['Colorless'],1,0,0,0,0,0
Anti-Venom Horrifying Healer,['W'],0,0,0,0,0,1
Anzrags Rampage,['R'],0,1,0,0,0,0
Anzrag the Quake-Mole,"[G, R]",0,1,0,1,0,0
Apocalypse Runner,"[B, R]",0,1,0,0,1,0
Apothecary Stomper,['G'],0,0,0,1,0,0
Appendage Amalgam,['B'],0,0,0,0,1,0
Aquatic Alchemist  Bubble Up,['U'],0,0,1,0,0,0
Arabella Abandoned Doll,"[R, W]",0,1,0,0,0,1
Arachne Psionic Weaver,['W'],0,0,0,0,0,1
Arahbo the First Fang,['W'],0,0,0,0,0,1
Araña Heart of the Spider,"[R, W]",0,1,0,0,0,1
Arashin Sunshield,['W'],0,0,0,0,0,1
Arbiter of Woe,['B'],0,0,0,0,1,0
Arcane Epiphany,['U'],0,0,1,0,0,0
Arcanis the Omnipotent,['U'],0,0,1,0,0,0
Archangel of Tithes,['W'],0,0,0,0,0,1
Archdruids Charm,['G'],0,0,0,1,0,0
Archenemys Charm,['B'],0,0,0,0,1,0
Archive Dragon,['U'],0,0,1,0,0,0
Archmage of Runes,['U'],0,0,1,0,0,0
Archmages Newt,['U'],0,0,1,0,0,0
Archon of the Wild Rose,['W'],0,0,0,0,0,1
Archons Glory,['W'],0,0,0,0,0,1
Archway Angel,['W'],0,0,0,0,0,1
Ardyn the Usurper,['B'],0,0,0,0,1,0
A Realm Reborn,['G'],0,0,0,1,0,0
Arid Archway,['Colorless'],1,0,0,0,0,0
Armament Dragon,"[B, G, W]",0,0,0,1,1,1
Armasaur Guide,['W'],0,0,0,0,0,1
Armored Armadillo,['W'],0,0,0,0,0,1
Armored Kincaller,['G'],0,0,0,1,0,0
Armory Mice,['W'],0,0,0,0,0,1
Artists Talent,['R'],0,1,0,0,0,0
Ashe Princess of Dalmasca,['W'],0,0,0,0,0,1
Ashioks Reaper,['B'],0,0,0,0,1,0
Ashiok Wicked Manipulator,['B'],0,0,0,0,1,0
Ash Party Crasher,"[R, W]",0,1,0,0,0,1
Ashroot Animist,"[G, R]",0,1,0,1,0,0
Asinine Antics,['U'],0,0,1,0,0,0
Assassins Trophy,"[B, G]",0,0,0,1,1,0
Assemble the Players,['W'],0,0,0,0,0,1
Assimilation Aegis,"[U, W]",0,0,1,0,0,1
Astelli Reclaimer,['W'],0,0,0,0,0,1
Astrologians Planisphere,['U'],0,0,1,0,0,0
A Tale for the Ages,['W'],0,0,0,0,0,1
At Knifepoint,"[B, R]",0,1,0,0,1,0
Atmospheric Greenhouse,['G'],0,0,0,1,0,0
Atomic Microsizer,['U'],0,0,1,0,0,0
Attack-in-the-Box,['Colorless'],1,0,0,0,0,0
Attentive Sunscribe,['W'],0,0,0,0,0,1
Attuned Hunter,['G'],0,0,0,1,0,0
Audience with Trostani,['G'],0,0,0,1,0,0
Aunt May,['W'],0,0,0,0,0,1
Aurelias Vindicator,['W'],0,0,0,0,0,1
Aurelia the Law Above,"[R, W]",0,1,0,0,0,1
Aurelia the Warleader,"[R, W]",0,1,0,0,0,1
Aurons Inspiration,['W'],0,0,0,0,0,1
Auroral Procession,"[G, U]",0,0,1,1,0,0
Auspicious Arrival,['W'],0,0,0,0,0,1
Autarch Mammoth,['G'],0,0,0,1,0,0
Authority of the Consuls,['W'],0,0,0,0,0,1
Auxiliary Boosters,['W'],0,0,0,0,0,1
Avenger of the Fallen,['B'],0,0,0,0,1,0
Aven Interrupter,['W'],0,0,0,0,0,1
Avishkar Raceway,['Colorless'],1,0,0,0,0,0
Awaken the Honored Dead,"[B, G, U]",0,0,1,1,1,0
Axebane Ferox,['G'],0,0,0,1,0,0
Axgard Cavalry,['R'],0,1,0,0,0,0
Ayli Eternal Pilgrim,"[B, W]",0,0,0,0,1,1
Azorius Guildgate,['Colorless'],1,0,0,0,0,0
Azure Beastbinder,['U'],0,0,1,0,0,0
Back for Seconds,['B'],0,0,0,0,1,0
Back on Track,['B'],0,0,0,0,1,0
Badlands Revival,"[B, G]",0,0,0,1,1,0
Bagel and Schmear,['Colorless'],1,0,0,0,0,0
Bake into a Pie,['B'],0,0,0,0,1,0
Bakersbane Duo,['G'],0,0,0,1,0,0
Balamb Garden SeeD Academy  Balamb Garden Airborne,['Colorless'],1,0,0,0,0,0
Balamb T-Rexaur,['G'],0,0,0,1,0,0
Balemurk Leech,['B'],0,0,0,0,1,0
Ball Lightning,['R'],0,1,0,0,0,0
Ballyrush Banneret,['W'],0,0,0,0,0,1
Balmor Battlemage Captain,"[R, U]",0,1,1,0,0,0
Balthier and Fran,"[G, R]",0,1,0,1,0,0
Balustrade Wurm,['G'],0,0,0,1,0,0
Bandits Haul,['Colorless'],1,0,0,0,0,0
Bandits Talent,['B'],0,0,0,0,1,0
Banishing Light,['W'],0,0,0,0,0,1
Banner of Kinship,['Colorless'],1,0,0,0,0,0
Barbed Servitor,['B'],0,0,0,0,1,0
Bards Bow,['G'],0,0,0,1,0,0
Barkform Harvester,['Colorless'],1,0,0,0,0,0
Bark-Knuckle Boxer,['G'],0,0,0,1,0,0
Baron Airship Kingdom,['Colorless'],1,0,0,0,0,0
Baron Bertram Graywater,"[B, W]",0,0,0,0,1,1
Barrensteppe Siege,"[B, W]",0,0,0,0,1,1
Barret Wallace,['R'],0,1,0,0,0,0
Barrow Naughty,['B'],0,0,0,0,1,0
Bartolomé del Presidio,"[B, W]",0,0,0,0,1,1
Bartz and Boko,['G'],0,0,0,1,0,0
Baseball Bat,"[G, W]",0,0,0,1,0,1
Bashful Beastie,['G'],0,0,0,1,0,0
Basilica Stalker,['B'],0,0,0,0,1,0
Basilisk Collar,['Colorless'],1,0,0,0,0,0
Basking Capybara,['G'],0,0,0,1,0,0
Basri Tomorrows Champion,['W'],0,0,0,0,0,1
Bat Colony,['W'],0,0,0,0,0,1
Battle Menu,['W'],0,0,0,0,0,1
Battle-Rattle Shaman,['R'],0,1,0,0,0,0
Battlesong Berserker,['R'],0,1,0,0,0,0
Baylen the Haymaker,"[G, R, W]",0,1,0,1,0,1
Beamsaw Prospector,['B'],0,0,0,0,1,0
Beanstalk Wurm  Plant Beans,['G'],0,0,0,1,0,0
Bear Cub,['G'],0,0,0,1,0,0
Bearer of Glory,['W'],0,0,0,0,0,1
Bear Trap,['Colorless'],1,0,0,0,0,0
Beastbond Outcaster,['G'],0,0,0,1,0,0
Beastie Beatdown,"[G, R]",0,1,0,1,0,0
Beast-Kin Ranger,['G'],0,0,0,1,0,0
Beastrider Vanguard,['G'],0,0,0,1,0,0
Beatrix Loyal General,['W'],0,0,0,0,0,1
Become Brutes,['R'],0,1,0,0,0,0
Bedhead Beastie,['R'],0,1,0,0,0,0
Bedrock Tortoise,['G'],0,0,0,1,0,0
Beetle Legacy Criminal,['U'],0,0,1,0,0,0
Behind the Mask,['U'],0,0,1,0,0,0
Behold the Sinister Six,['B'],0,0,0,0,1,0
Belligerent of the Ball,['R'],0,1,0,0,0,0
Belligerent Yearling,['R'],0,1,0,0,0,0
Bellowing Bruiser  Beat a Path,['R'],0,1,0,0,0,0
Bellowing Crier,['U'],0,0,1,0,0,0
Beluna Grandsquall  Seek Thrills,"[G, R, U]",0,1,1,1,0,0
Belunas Gatekeeper  Entry Denied,['U'],0,0,1,0,0,0
Benthic Criminologists,['U'],0,0,1,0,0,0
Beseech the Mirror,['B'],0,0,0,0,1,0
Besotted Knight  Betroth the Beast,['W'],0,0,0,0,0,1
Bespoke Battlegarb,['R'],0,1,0,0,0,0
Bestial Bloodline,['G'],0,0,0,1,0,0
Bestow Greatness,['G'],0,0,0,1,0,0
Betor Kin to All,"[B, G, W]",0,0,0,1,1,1
Betrayal at the Vault,['G'],0,0,0,1,0,0
Betrayers Bargain,['R'],0,1,0,0,0,0
Bewildering Blizzard,['U'],0,0,1,0,0,0
Beyond the Quiet,['W'],0,0,0,0,0,1
Beza the Bounding Spring,['W'],0,0,0,0,0,1
Bigfin Bouncer,['U'],0,0,1,0,0,0
Billowing Shriekmass,['B'],0,0,0,0,1,0
Binding Negotiation,['B'],0,0,0,0,1,0
Bioengineered Future,['G'],0,0,0,1,0,0
Biogenic Upgrade,['G'],0,0,0,1,0,0
Biomechan Engineer,"[G, U]",0,0,1,1,0,0
Biorganic Carapace,"[U, W]",0,0,1,0,0,1
Biosynthic Burst,['G'],0,0,0,1,0,0
Biotech Specialist,"[G, R]",0,1,0,1,0,0
Bishops Soldier,['W'],0,0,0,0,0,1
Bite Down,['G'],0,0,0,1,0,0
Bite Down on Crime,['G'],0,0,0,1,0,0
Bitter Chill,['U'],0,0,1,0,0,0
Bitter Triumph,['B'],0,0,0,0,1,0
Black Cat Cunning Thief,['B'],0,0,0,0,1,0
Black Mages Rod,['B'],0,0,0,0,1,0
Blacksmiths Talent,['R'],0,1,0,0,0,0
Blacksnag Buzzard,['B'],0,0,0,0,1,0
Black Waltz No 3,"[B, R]",0,1,0,0,1,0
Blade of the Swarm,['B'],0,0,0,0,1,0
Blanchwood Armor,['G'],0,0,0,1,0,0
Blasphemous Edict,['B'],0,0,0,0,1,0
Blazemire Verge,['Colorless'],1,0,0,0,0,0
Blazing Bomb,['R'],0,1,0,0,0,0
Bleachbone Verge,['Colorless'],1,0,0,0,0,0
Bleeding Woods,['Colorless'],1,0,0,0,0,0
Blitzball,['Colorless'],1,0,0,0,0,0
Blitzball Shot,['G'],0,0,0,1,0,0
Bloodfell Caves,['Colorless'],1,0,0,0,0,0
Bloodghast,['B'],0,0,0,0,1,0
Blood Hustler,['B'],0,0,0,0,1,0
Bloodletter of Aclazotz,['B'],0,0,0,0,1,0
Blood Spatter Analysis,"[B, R]",0,1,0,0,1,0
Bloodthirsty Conqueror,['B'],0,0,0,0,1,0
Bloodthorn Flail,['B'],0,0,0,0,1,0
Bloodtithe Collector,['B'],0,0,0,0,1,0
Blooming Blast,['R'],0,1,0,0,0,0
Blooming Marsh,['Colorless'],1,0,0,0,0,0
Blooming Stinger,['G'],0,0,0,1,0,0
Bloomvine Regent  Claim Territory,['G'],0,0,0,1,0,0
Blossoming Sands,['Colorless'],1,0,0,0,0,0
Blossoming Tortoise,['G'],0,0,0,1,0,0
Boilerbilges Ripper,['R'],0,1,0,0,0,0
Bolrac-Clan Basher,['R'],0,1,0,0,0,0
Bolt Bend,['R'],0,1,0,0,0,0
Boltwave,['R'],0,1,0,0,0,0
Bombard,['R'],0,1,0,0,0,0
Bonebind Orator,['B'],0,0,0,0,1,0
Bonecache Overseer,['B'],0,0,0,0,1,0
Bone-Cairn Butcher,"[B, R, W]",0,1,0,0,1,1
Bonehoard Dracosaur,['R'],0,1,0,0,0,0
Boneyard Desecrator,['B'],0,0,0,0,1,0
Bonny Pall Clearcutter,"[G, U]",0,0,1,1,0,0
Boom Box,['Colorless'],1,0,0,0,0,0
Boommobile,['R'],0,1,0,0,0,0
Boom Scholar,"[G, R]",0,1,0,1,0,0
Boosted Sloop,"[R, U]",0,1,1,0,0,0
Boros Charm,"[R, W]",0,1,0,0,0,1
Boros Guildgate,['Colorless'],1,0,0,0,0,0
Botanical Sanctum,['Colorless'],1,0,0,0,0,0
Bottomless Pool  Locker Room,['U'],0,0,1,0,0,0
Boulderborn Dragon,['Colorless'],1,0,0,0,0,0
Bounce Off,['U'],0,0,1,0,0,0
Boundary Lands Ranger,['R'],0,1,0,0,0,0
Bounding Felidar,['W'],0,0,0,0,0,1
Bovine Intervention,['W'],0,0,0,0,0,1
Brackish Blunder,['U'],0,0,1,0,0,0
Braided Net  Braided Quipu,['Colorless'],1,0,0,0,0,0
Bramble Familiar  Fetch Quest,['G'],0,0,0,1,0,0
Brambleguard Captain,['R'],0,1,0,0,0,0
Brambleguard Veteran,['G'],0,0,0,1,0,0
Branch of Vitu-Ghazi,['Colorless'],1,0,0,0,0,0
Brasss Bounty,['R'],0,1,0,0,0,0
Brasss Tunnel-Grinder  Tecutlan the Searing Rift,['Colorless'],1,0,0,0,0,0
Brave-Kin Duo,['W'],0,0,0,0,0,1
Brave the Wilds,['G'],0,0,0,1,0,0
Brazen Blademaster,['R'],0,1,0,0,0,0
Brazen Collector,['R'],0,1,0,0,0,0
Brazen Scourge,['R'],0,1,0,0,0,0
Breaching Dragonstorm,['R'],0,1,0,0,0,0
Break Down the Door,['G'],0,0,0,1,0,0
Break Out,"[G, R]",0,1,0,1,0,0
Break the Spell,['W'],0,0,0,0,0,1
Breeches Eager Pillager,['R'],0,1,0,0,0,0
Breeches the Blastmaker,"[R, U]",0,1,1,0,0,0
Breeding Pool,['Colorless'],1,0,0,0,0,0
Bria Riptide Rogue,"[R, U]",0,1,1,0,0,0
Bridled Bighorn,['W'],0,0,0,0,0,1
Brightblade Stoat,['W'],0,0,0,0,0,1
Brightfield Glider,['W'],0,0,0,0,0,1
Brightfield Mustang,['W'],0,0,0,0,0,1
Brightglass Gearhulk,"[G, W]",0,0,0,1,0,1
Brightspear Zealot,['W'],0,0,0,0,0,1
Brimstone Roundup,['R'],0,1,0,0,0,0
Brineborn Cutthroat,['U'],0,0,1,0,0,0
Bringer of the Last Gift,['B'],0,0,0,0,1,0
Bristlebud Farmer,['G'],0,0,0,1,0,0
Bristlepack Sentry,['G'],0,0,0,1,0,0
Bristling Backwoods,['Colorless'],1,0,0,0,0,0
Bristly Bill Spine Sower,['G'],0,0,0,1,0,0
Broadcast Rambler,['W'],0,0,0,0,0,1
Broadside Barrage,"[R, U]",0,1,1,0,0,0
Broken Wings,['G'],0,0,0,1,0,0
Broodguard Elite,['G'],0,0,0,1,0,0
Broodheart Engine,"[B, G]",0,0,0,1,1,0
Broodrage Mycoid,['B'],0,0,0,0,1,0
Broodspinner,"[B, G]",0,0,0,1,1,0
Bruse Tarl Roving Rancher,"[R, W]",0,1,0,0,0,1
Bubble Smuggler,['U'],0,0,1,0,0,0
Bucolic Ranch,['Colorless'],1,0,0,0,0,0
Builders Talent,['W'],0,0,0,0,0,1
Bulk Up,['R'],0,1,0,0,0,0
Bulwark Ox,['W'],0,0,0,0,0,1
Bumbleflowers Sharepot,['Colorless'],1,0,0,0,0,0
Burden of Proof,['U'],0,0,1,0,0,0
Burglar Rat,['B'],0,0,0,0,1,0
Buried in the Garden,"[G, W]",0,0,0,1,0,1
Buried Treasure,['Colorless'],1,0,0,0,0,0
Burner Rocket,['R'],0,1,0,0,0,0
Burning Sun Cavalry,['R'],0,1,0,0,0,0
Burnished Hart,['Colorless'],1,0,0,0,0,0
Burnout Bashtronaut,['R'],0,1,0,0,0,0
Burrog Befuddler,['U'],0,0,1,0,0,0
Burrowguard Mentor,"[G, W]",0,0,0,1,0,1
Burst Lightning,['R'],0,1,0,0,0,0
Bushwhack,['G'],0,0,0,1,0,0
Bushy Bodyguard,['G'],0,0,0,1,0,0
Buster Sword,['Colorless'],1,0,0,0,0,0
Bygone Colossus,['Colorless'],1,0,0,0,0,0
Byrke Long Ear of the Law,"[G, W]",0,0,0,1,0,1
Byway Barterer,['R'],0,1,0,0,0,0
Cache Grab,['G'],0,0,0,1,0,0
Cackling Prowler,['G'],0,0,0,1,0,0
Cackling Slasher,['B'],0,0,0,0,1,0
Cactarantula,['G'],0,0,0,1,0,0
Cactuar,['G'],0,0,0,1,0,0
Cactusfolk Sureshot,"[G, R]",0,1,0,1,0,0
Caelorna Coral Tyrant,['U'],0,0,1,0,0,0
Calamitous Cave-In,['R'],0,1,0,0,0,0
Calamitous Tide,['U'],0,0,1,0,0,0
Calamity Galloping Inferno,['R'],0,1,0,0,0,0
Call a Surprise Witness,['W'],0,0,0,0,0,1
Callous Sell-Sword  Burn Together,['B'],0,0,0,0,1,0
Call the Mountain Chocobo,['R'],0,1,0,0,0,0
Call the Spirit Dragons,"[B, G, R, U, W]",0,1,1,1,1,1
Camellia the Seedmiser,"[B, G]",0,0,0,1,1,0
Camera Launcher,['Colorless'],1,0,0,0,0,0
Campus Guide,['Colorless'],1,0,0,0,0,0
Cancel,['U'],0,0,1,0,0,0
Candlestick,['U'],0,0,1,0,0,0
Candy Grapple,['B'],0,0,0,0,1,0
Candy Trail,['Colorless'],1,0,0,0,0,0
Canonized in Blood,['B'],0,0,0,0,1,0
Canyon Crab,['U'],0,0,1,0,0,0
Canyon Vaulter,['W'],0,0,0,0,0,1
Caparocti Sunborn,"[R, W]",0,1,0,0,0,1
Capital City,['Colorless'],1,0,0,0,0,0
Captain Howler Sea Scourge,"[R, U]",0,1,1,0,0,0
Captain Storm Cosmium Raider,"[R, U]",0,1,1,0,0,0
Captivating Cave,['Colorless'],1,0,0,0,0,0
Caradora Heart of Alacria,"[G, W]",0,0,0,1,0,1
Careening Mine Cart,['Colorless'],1,0,0,0,0,0
Caretakers Talent,['W'],0,0,0,0,0,1
Cargo Ship,['U'],0,0,1,0,0,0
Carnage Crimson Chaos,"[B, R]",0,1,0,0,1,0
Carnelian Orb of Dragonkind,['R'],0,1,0,0,0,0
Carrion Cruiser,['B'],0,0,0,0,1,0
Carrot Cake,['W'],0,0,0,0,0,1
Cartographers Companion,['Colorless'],1,0,0,0,0,0
Case File Auditor,['W'],0,0,0,0,0,1
Case of the Burning Masks,['R'],0,1,0,0,0,0
Case of the Crimson Pulse,['R'],0,1,0,0,0,0
Case of the Filched Falcon,['U'],0,0,1,0,0,0
Case of the Gateway Express,['W'],0,0,0,0,0,1
Case of the Gorgons Kiss,['B'],0,0,0,0,1,0
Case of the Locked Hothouse,['G'],0,0,0,1,0,0
Case of the Pilfered Proof,['W'],0,0,0,0,0,1
Case of the Ransacked Lab,['U'],0,0,1,0,0,0
Case of the Shattered Pact,['Colorless'],1,0,0,0,0,0
Case of the Stashed Skeleton,['B'],0,0,0,0,1,0
Case of the Trampled Garden,['G'],0,0,0,1,0,0
Case of the Uneaten Feast,['W'],0,0,0,0,0,1
Cat Collector,['W'],0,0,0,0,0,1
Cathar Commando,['W'],0,0,0,0,0,1
Cathartic Parting,['G'],0,0,0,1,0,0
Caught in the Crossfire,['R'],0,1,0,0,0,0
Caught Red-Handed,['R'],0,1,0,0,0,0
Caustic Bronco,['B'],0,0,0,0,1,0
Caustic Exhale,['B'],0,0,0,0,1,0
Cautious Survivor,['G'],0,0,0,1,0,0
Cavern of Souls,['Colorless'],1,0,0,0,0,0
Cavernous Maw,['Colorless'],1,0,0,0,0,0
Cavern Stomper,['G'],0,0,0,1,0,0
Cease  Desist,"[B, G, W]",0,0,0,1,1,1
Cecil Dark Knight  Cecil Redeemed Paladin,['Colorless'],1,0,0,0,0,0
Celestial Armor,['W'],0,0,0,0,0,1
Cemetery Recruitment,['B'],0,0,0,0,1,0
Cenote Scout,['G'],0,0,0,1,0,0
Central Elevator  Promising Stairs,['U'],0,0,1,0,0,0
Cephalid Inkmage,['U'],0,0,1,0,0,0
Cerebral Confiscation,['B'],0,0,0,0,1,0
Cerebral Download,['U'],0,0,1,0,0,0
Chainsaw,['R'],0,1,0,0,0,0
Chalk Outline,['G'],0,0,0,1,0,0
Chameleon Master of Disguise,['U'],0,0,1,0,0,0
Champion of Dusan,['G'],0,0,0,1,0,0
Chancellor of Tales,['U'],0,0,1,0,0,0
Chandra Flameshaper,['R'],0,1,0,0,0,0
Chandra Spark Hunter,['R'],0,1,0,0,0,0
Channeled Dragonfire,['R'],0,1,0,0,0,0
Charging Hooligan,['R'],0,1,0,0,0,0
Charmed Clothier,['W'],0,0,0,0,0,1
Charmed Sleep,['U'],0,0,1,0,0,0
Charming Prince,['W'],0,0,0,0,0,1
Charming Scoundrel,['R'],0,1,0,0,0,0
Charred Foyer  Warped Space,['R'],0,1,0,0,0,0
Chart a Course,['U'],0,0,1,0,0,0
Cheeky House-Mouse  Squeak By,['W'],0,0,0,0,0,1
Cheering Crowd,"[G, R]",0,1,0,1,0,0
Child of the Volcano,['R'],0,1,0,0,0,0
Chimil the Inner Sun,['Colorless'],1,0,0,0,0,0
Chitin Gravestalker,['B'],0,0,0,0,1,0
Chocobo Kick,['G'],0,0,0,1,0,0
Chocobo Racetrack,['G'],0,0,0,1,0,0
Choco-Comet,['R'],0,1,0,0,0,0
Choco Seeker of Paradise,"[G, U, W]",0,0,1,1,0,1
Chorale of the Void,['B'],0,0,0,0,1,0
Chrome Companion,['Colorless'],1,0,0,0,0,0
Chupacabra Echo,['B'],0,0,0,0,1,0
Cid Timeless Artificer,"[U, W]",0,0,1,0,0,1
Cindering Cutthroat,"[B, R]",0,1,0,0,1,0
Circle of Power,['B'],0,0,0,0,1,0
Circuitous Route,['G'],0,0,0,1,0,0
City Pigeon,['W'],0,0,0,0,0,1
Claim Jumper,['W'],0,0,0,0,0,1
Clammy Prowler,['U'],0,0,1,0,0,0
Clamorous Ironclad,['R'],0,1,0,0,0,0
Clandestine Meddler,['B'],0,0,0,0,1,0
Clarion Conqueror,['W'],0,0,0,0,0,1
Clash of the Eikons,['G'],0,0,0,1,0,0
Claws Out,['W'],0,0,0,0,0,1
Clay-Fired Bricks  Cosmium Kiln,['Colorless'],1,0,0,0,0,0
Clement the Worrywort,"[G, U]",0,0,1,1,0,0
Clifftop Lookout,['G'],0,0,0,1,0,0
Clinquant Skymage,['U'],0,0,1,0,0,0
Clive Ifrits Dominant  Ifrit Warden of Inferno,['Colorless'],1,0,0,0,0,0
Clives Hideaway,['Colorless'],1,0,0,0,0,0
Clockwork Percussionist,['R'],0,1,0,0,0,0
Close Encounter,['G'],0,0,0,1,0,0
Cloudblazer,"[U, W]",0,0,1,0,0,1
Cloudbound Moogle,['W'],0,0,0,0,0,1
Cloud Midgar Mercenary,['W'],0,0,0,0,0,1
Cloud of Darkness,"[B, G]",0,0,0,1,1,0
Cloud Planets Champion,"[R, W]",0,1,0,0,0,1
Cloudsculpt Technician,['U'],0,0,1,0,0,0
Cloudspire Captain,['W'],0,0,0,0,0,1
Cloudspire Coordinator,"[R, W]",0,1,0,0,0,1
