name,type_line,oracle_text,colors,cmc,rarity,set_name,released_at,power,toughness,keywords,image_uri
Acolyte of Aclazotz,Creature — Vampire Cleric,"{T}, Sacrifice another creature or artifact: Each opponent loses 1 life and you gain 1 life.",B,3.0,common,The Lost Caverns of Ixalan,2023-11-17,1,4,,https://cards.scryfall.io/normal/front/9/9/99009400-ffa4-40af-8305-78295ae605ac.jpg?1699044065
Acrobatic Cheerleader,Creature — Human Survivor,"Survival — At the beginning of your second main phase, if this creature is tapped, put a flying counter on it. This ability triggers only once.",W,2.0,common,Duskmourn: House of Horror,2024-09-27,2,2,Survival,https://cards.scryfall.io/normal/front/6/f/6f1a7590-3eee-4803-b192-d4fb771e6a86.jpg?1726285858
Acrobatic Leap,Instant,Target creature gets +1/+3 and gains flying until end of turn. Untap it.,W,1.0,common,The Lost Caverns of Ixalan,2023-11-17,,,,https://cards.scryfall.io/normal/front/4/7/47f82d84-03ad-42dd-80ce-f0ac5e353e46.jpg?1699043064
"Adagia, Windswept Bastion",Land — Planet,"This land enters tapped.
{T}: Add {W}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
STATION 12+
{3}{W}, {T}: Create a token that's a copy of target artifact or enchantment you control, except it's legendary. Activate only as a sorcery.",Colorless,0.0,mythic,Edge of Eternities,2025-08-01,,,Station,https://cards.scryfall.io/normal/front/c/6/c634273a-94b0-4104-9d10-ae522ece1fc7.jpg?1755341328
Adamant Will,Instant,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",W,2.0,common,Foundations,2024-11-15,,,,https://cards.scryfall.io/normal/front/1/f/1fd2c9ab-b3dd-4f68-b91f-0f075a045757.jpg?1730490456
Adaptive Automaton,Artifact Creature — Construct,"As this creature enters, choose a creature type.
This creature is the chosen type in addition to its other types.
Other creatures you control of the chosen type get +1/+1.",Colorless,3.0,rare,Foundations,2024-11-15,2,2,,https://cards.scryfall.io/normal/front/e/3/e35e614c-51a9-4d5c-b7fa-1a0a87108785.jpg?1730572767
Adaptive Gemguard,Artifact Creature — Gnome,Tap two untapped artifacts and/or creatures you control: Put a +1/+1 counter on this creature. Activate only as a sorcery.,W,4.0,common,The Lost Caverns of Ixalan,2023-11-17,3,3,,https://cards.scryfall.io/normal/front/8/3/83c91e24-b7e8-4040-80cb-d1b375002c10.jpg?1699043073
Adelbert Steiner,Legendary Creature — Human Knight,"Lifelink
Adelbert Steiner gets +1/+1 for each Equipment you control.",W,2.0,uncommon,Final Fantasy,2025-06-13,2,1,Lifelink,https://cards.scryfall.io/normal/front/1/a/1a67a991-1e52-4676-a2e3-2bc7aa943ab3.jpg?1748705765
Adorned Crocodile,Creature — Crocodile,"When this creature dies, create a 2/2 black Zombie Druid creature token.
Renew — {B}, Exile this card from your graveyard: Put a +1/+1 counter on target creature. Activate only as a sorcery.",B,5.0,common,Tarkir: Dragonstorm,2025-04-11,5,3,Renew,https://cards.scryfall.io/normal/front/b/b/bb13a34b-6ac8-47cb-9e91-47106a585fc1.jpg?1743697510
Adrenaline Jockey,Creature — Minotaur Pilot,"Whenever a player casts a spell, if it's not their turn, this creature deals 4 damage to them.
Whenever you activate an exhaust ability, put a +1/+1 counter on this creature.",R,3.0,uncommon,Aetherdrift,2025-02-14,3,3,,https://cards.scryfall.io/normal/front/c/8/c8655373-320d-440d-b700-d03413f743fd.jpg?1738356376
Adventurer's Airship,Artifact — Vehicle,"Flying
Whenever this Vehicle attacks, draw a card, then discard a card.
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",Colorless,3.0,common,Final Fantasy,2025-06-13,3,2,"Flying,Crew",https://cards.scryfall.io/normal/front/0/a/0a1d6dcd-bd41-4f57-a35b-6613811fe4d4.jpg?1748718939
Adventurer's Inn,Land — Town,"When this land enters, you gain 2 life.
{T}: Add {C}.",Colorless,0.0,common,Final Fantasy,2025-06-13,,,,https://cards.scryfall.io/normal/front/f/0/f0da2ee1-986e-4cbf-92eb-d96fdb572ca5.jpg?1748706796
Adventuring Gear,Artifact — Equipment,"Landfall — Whenever a land you control enters, equipped creature gets +2/+2 until end of turn.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",Colorless,1.0,uncommon,Foundations,2024-11-15,,,"Equip,Landfall",https://cards.scryfall.io/normal/front/3/6/361f9b99-5b5d-40da-b4b9-5ad90f6280ee.jpg?1730489534
Aegis Sculptor,Creature — Bird Wizard,"Flying
Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
At the beginning of your upkeep, you may exile two cards from your graveyard. If you do, put a +1/+1 counter on this creature.",U,4.0,uncommon,Tarkir: Dragonstorm,2025-04-11,2,3,"Flying,Ward",https://cards.scryfall.io/normal/front/1/9/19c1417a-9719-46f6-8749-d92b93ce0529.jpg?1743204100
Aegis Turtle,Creature — Turtle,,U,1.0,common,Foundations,2024-11-15,0,5,,https://cards.scryfall.io/normal/front/c/7/c7f2014a-fbc9-447c-a440-e06d01066bb9.jpg?1730489163
Aerith Gainsborough,Legendary Creature — Human Cleric,"Lifelink
Whenever you gain life, put a +1/+1 counter on Aerith Gainsborough.
When Aerith Gainsborough dies, put X +1/+1 counters on each legendary creature you control, where X is the number of +1/+1 counters on Aerith Gainsborough.",W,3.0,rare,Final Fantasy,2025-06-13,2,2,Lifelink,https://cards.scryfall.io/normal/front/e/8/e86328b6-ded2-41df-8b6e-4a770e7b171e.jpg?1748705770
Aerith Rescue Mission,Sorcery,"Choose one —
• Take the Elevator — Create three 1/1 colorless Hero creature tokens.
• Take 59 Flights of Stairs — Tap up to three target creatures. Put a stun counter on one of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)",W,4.0,common,Final Fantasy,2025-06-13,,,"Take 59 Flights of Stairs,Take the Elevator",https://cards.scryfall.io/normal/front/3/1/3123d16c-e1e6-4659-a7a3-2ec6efc6bf08.jpg?1748705771
Aetherize,Instant,Return all attacking creatures to their owner's hand.,U,4.0,uncommon,Foundations,2024-11-15,,,,https://cards.scryfall.io/normal/front/1/e/1e5530fc-0291-4a17-b048-c5d24e6f51d8.jpg?1730489167
Aetherjacket,Artifact Creature — Thopter,"Flying, vigilance
{2}, {T}, Sacrifice this creature: Destroy another target artifact. Activate only as a sorcery.",Colorless,3.0,common,Aetherdrift,2025-02-14,2,1,"Flying,Vigilance",https://cards.scryfall.io/normal/front/0/a/0a29c8a5-fd98-422c-9518-2db0993495e5.jpg?1738356782
Aether Syphon,Artifact,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
{2}, {T}: Draw a card.
Max speed — Whenever you draw a card, each opponent mills two cards. (Each opponent puts the top two cards of their library into their graveyard.)",U,3.0,uncommon,Aetherdrift,2025-02-14,,,"Max speed,Mill,Start your engines!",https://cards.scryfall.io/normal/front/d/7/d7033739-4cd8-4727-b9b5-099fb597006b.jpg?1741125415
Aettir and Priwen,Legendary Artifact — Equipment,"Equipped creature has base power and toughness X/X, where X is your life total.
Equip {5}",Colorless,6.0,mythic,Final Fantasy,2025-06-13,,,Equip,https://cards.scryfall.io/normal/front/0/3/038710ca-c756-4e66-a9de-278e676c9f5b.jpg?1748706739
Affectionate Indrik,Creature — Beast,"When this creature enters, you may have it fight target creature you don't control. (Each deals damage equal to its power to the other.)",G,6.0,uncommon,Foundations,2024-11-15,4,4,Fight,https://cards.scryfall.io/normal/front/2/d/2da8347d-06a4-46e0-a55e-cc2da4660263.jpg?1731255612
Afterburner Expert,Creature — Goblin Artificer,"Exhaust — {2}{G}{G}: Put two +1/+1 counters on this creature. (Activate each exhaust ability only once.)
Whenever you activate an exhaust ability, return this card from your graveyard to the battlefield.",G,3.0,rare,Aetherdrift,2025-02-14,4,2,Exhaust,https://cards.scryfall.io/normal/front/5/5/555e1bfc-6d07-4979-a914-b2bd1fb031f2.jpg?1738356471
Aftermath Analyst,Creature — Elf Detective,"When this creature enters, mill three cards.
{3}{G}, Sacrifice this creature: Return all land cards from your graveyard to the battlefield tapped.",G,2.0,uncommon,Edge of Eternities Commander,2025-08-01,1,3,Mill,https://cards.scryfall.io/normal/front/6/6/66f135b4-8cb3-4a4e-86ae-81a3cf4b7259.jpg?1752944758
Agate Assault,Sorcery,"Choose one —
• Agate Assault deals 4 damage to target creature. If that creature would die this turn, exile it instead.
• Exile target artifact.",R,3.0,common,Bloomburrow,2024-08-02,,,,https://cards.scryfall.io/normal/front/7/d/7dd9946b-515e-4e0d-9da2-711e126e9fa6.jpg?1721426563
Agate-Blade Assassin,Creature — Lizard Assassin,"Whenever this creature attacks, defending player loses 1 life and you gain 1 life.",B,2.0,common,Bloomburrow,2024-08-02,1,3,,https://cards.scryfall.io/normal/front/3/9/39ebb84a-1c52-4b07-9bd0-b360523b3a5b.jpg?1721426332
Agatha of the Vile Cauldron,Legendary Creature — Human Warlock,"Activated abilities of creatures you control cost {X} less to activate, where X is Agatha's power. This effect can't reduce the mana in that cost to less than one mana.
{4}{R}{G}: Other creatures you control get +1/+1 and gain trample and haste until end of turn.","G,R",2.0,mythic,Wilds of Eldraine,2023-09-08,1,1,,https://cards.scryfall.io/normal/front/d/6/d6c48f07-63b7-4a60-8da6-ce77405abf1e.jpg?1693248393
Agatha's Champion,Creature — Human Knight,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
Trample
When this creature enters, if it was bargained, it fights up to one target creature you don't control. (Each deals damage equal to its power to the other.)",G,5.0,uncommon,Wilds of Eldraine,2023-09-08,4,4,"Trample,Fight,Bargain",https://cards.scryfall.io/normal/front/9/2/92652c41-1239-4299-a486-11fe1a96e912.jpg?1692938667
Agatha's Soul Cauldron,Legendary Artifact,"You may spend mana as though it were mana of any color to activate abilities of creatures you control.
Creatures you control with +1/+1 counters on them have all activated abilities of all creature cards exiled with Agatha's Soul Cauldron.
{T}: Exile target card from a graveyard. When a creature card is exiled this way, put a +1/+1 counter on target creature you control.",Colorless,2.0,mythic,Wilds of Eldraine,2023-09-08,,,,https://cards.scryfall.io/normal/front/0/1/019b51b0-e5c6-4208-922b-7736686dddcd.jpg?1692939838
Agency Coroner,Creature — Ogre Cleric,"{2}{B}, Sacrifice another creature: Draw a card. If the sacrificed creature was suspected, draw two cards instead.",B,5.0,common,Murders at Karlov Manor,2024-02-09,3,6,,https://cards.scryfall.io/normal/front/d/6/d63f2c23-e877-42e3-9362-5d003a173c6d.jpg?1706241661
Agency Outfitter,Creature — Sphinx Detective,"Flying
When this creature enters, you may search your graveyard, hand and/or library for a card named Magnifying Glass and/or a card named Thinking Cap and put them onto the battlefield. If you search your library this way, shuffle.",U,6.0,uncommon,Murders at Karlov Manor,2024-02-09,4,3,Flying,https://cards.scryfall.io/normal/front/8/1/8112f133-535e-4264-8357-9cbf97957710.jpg?1709374955
Agent of Kotis,Creature — Human Rogue,"Renew — {3}{U}, Exile this card from your graveyard: Put two +1/+1 counters on target creature. Activate only as a sorcery.",U,2.0,common,Tarkir: Dragonstorm,2025-04-11,2,1,Renew,https://cards.scryfall.io/normal/front/8/1/812d0462-0158-467f-951d-a7a121188a10.jpg?1743204105
Agent Venom,Legendary Creature — Symbiote Soldier Hero,"Flash
Menace
Whenever another nontoken creature you control dies, you draw a card and lose 1 life.",B,3.0,rare,Marvel's Spider-Man,2025-09-26,2,3,"Menace,Flash",https://cards.scryfall.io/normal/front/f/5/f5f80d82-d64c-466f-8874-9cfb00469f02.jpg?1757377054
Aggressive Mammoth,Creature — Elephant,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Other creatures you control have trample.",G,6.0,rare,Foundations,2024-11-15,8,8,Trample,https://cards.scryfall.io/normal/front/7/7/7724b978-999b-4654-96f3-58e28aa7cb34.jpg?1730490696
Aggressive Negotiations,Sorcery,Target opponent reveals their hand. You choose a nonland card from it and exile that card. Put a +1/+1 counter on up to one target creature you control.,B,3.0,common,Tarkir: Dragonstorm,2025-04-11,,,,https://cards.scryfall.io/normal/front/9/9/993ade84-031f-4a3e-bd68-55f61b559248.jpg?1743204240
Agonasaur Rex,Creature — Dinosaur,"Trample
Cycling {2}{G} ({2}{G}, Discard this card: Draw a card.)
When you cycle this card, put two +1/+1 counters on up to one target creature or Vehicle. It gains trample and indestructible until end of turn.",G,5.0,rare,Aetherdrift,2025-02-14,8,8,"Trample,Cycling",https://cards.scryfall.io/normal/front/5/b/5b11ec26-9e07-45e1-bcaa-5d44d1231586.jpg?1738356473
"Agrus Kos, Spirit of Justice",Legendary Creature — Spirit Detective,"Double strike, vigilance
Whenever Agrus Kos enters or attacks, choose up to one target creature. If it's suspected, exile it. Otherwise, suspect it. (A suspected creature has menace and can't block.)","R,W",4.0,mythic,Murders at Karlov Manor,2024-02-09,2,4,"Vigilance,Suspect,Double strike",https://cards.scryfall.io/normal/front/5/8/58aeac7c-1275-49d4-9915-7604ae4bfdff.jpg?1706242105
Ahriman,Creature — Eye Horror,"Flying, deathtouch
{3}, Sacrifice another creature or artifact: Draw a card.",B,3.0,common,Final Fantasy,2025-06-13,2,2,"Deathtouch,Flying",https://cards.scryfall.io/normal/front/1/6/162a415c-5465-497e-8f4e-c6f09681641d.jpg?1748706087
Ainok Wayfarer,Creature — Dog Scout,"When this creature enters, mill three cards. You may put a land card from among them into your hand. If you don't, put a +1/+1 counter on this creature. (To mill three cards, put the top three cards of your library into your graveyard.)",G,2.0,common,Tarkir: Dragonstorm,2025-04-11,1,1,Mill,https://cards.scryfall.io/normal/front/5/7/57695a9b-8f72-4ccc-a946-5d5037b09b8f.jpg?1743204503
Air Response Unit,Artifact — Vehicle,"Flying, vigilance
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",W,3.0,uncommon,Aetherdrift,2025-02-14,3,3,"Flying,Vigilance,Crew",https://cards.scryfall.io/normal/front/d/7/d77c8e29-de24-4664-baf8-959608dd99ca.jpg?1738356103
Airship Crash,Instant,"Destroy target artifact, enchantment, or creature with flying.
Cycling {2} ({2}, Discard this card: Draw a card.)",G,3.0,common,Final Fantasy,2025-06-13,,,Cycling,https://cards.scryfall.io/normal/front/e/c/ec91c4e4-711f-464d-bc83-e6813f4fdcdb.jpg?1750188044
Airtight Alibi,Enchantment — Aura,"Flash
Enchant creature
When this Aura enters, untap enchanted creature. It gains hexproof until end of turn. If it's suspected, it's no longer suspected.
Enchanted creature gets +2/+2 and can't become suspected.",G,3.0,common,Murders at Karlov Manor,2024-02-09,,,"Enchant,Flash",https://cards.scryfall.io/normal/front/b/f/bffbbe21-0a1d-48b9-903e-81c109aa11de.jpg?1706241938
"Ajani, Caller of the Pride",Legendary Planeswalker — Ajani,"+1: Put a +1/+1 counter on up to one target creature.
−3: Target creature gains flying and double strike until end of turn.
−8: Create X 2/2 white Cat creature tokens, where X is your life total.",W,3.0,mythic,Foundations,2024-11-15,,,,https://cards.scryfall.io/normal/front/5/9/59793f1c-8c7e-433e-9c09-40aa3ce931a1.jpg?1730489103
Ajani's Pridemate,Creature — Cat Soldier,"Whenever you gain life, put a +1/+1 counter on this creature.",W,2.0,uncommon,Foundations,2024-11-15,2,2,,https://cards.scryfall.io/normal/front/2/2/222c1a68-e34c-4103-b1be-17d4ceaef6ce.jpg?1730489107
"Akal Pakal, First Among Equals",Legendary Creature — Human Advisor,"At the beginning of each player's end step, if an artifact entered the battlefield under your control this turn, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.",U,3.0,rare,The Lost Caverns of Ixalan,2023-11-17,1,5,,https://cards.scryfall.io/normal/front/a/b/ab9f6a1b-8467-4584-affd-8c71d3e34d2f.jpg?1699043517
"Akawalli, the Seething Tower",Legendary Creature — Fungus,"Descend 4 — As long as there are four or more permanent cards in your graveyard, Akawalli gets +2/+2 and has trample.
Descend 8 — As long as there are eight or more permanent cards in your graveyard, Akawalli gets an additional +2/+2 and can't be blocked by more than one creature.","B,G",3.0,uncommon,The Lost Caverns of Ixalan,2023-11-17,3,3,Descend,https://cards.scryfall.io/normal/front/3/e/3ee62dd1-97d0-4e5d-8937-26c9e51e9414.jpg?1699044515
A Killer Among Us,Enchantment,"When this enchantment enters, create a 1/1 white Human creature token, a 1/1 blue Merfolk creature token, and a 1/1 red Goblin creature token. Then secretly choose Human, Merfolk, or Goblin.
Sacrifice this enchantment, Reveal the creature type you chose: If target attacking creature token is the chosen type, put three +1/+1 counters on it and it gains deathtouch until end of turn.",G,5.0,uncommon,Murders at Karlov Manor,2024-02-09,,,,https://cards.scryfall.io/normal/front/2/c/2c1392c5-91a5-4e6e-803d-ed032e4d594b.jpg?1706242059
Akul the Unrepentant,Legendary Creature — Scorpion Dragon Rogue,"Flying, trample
Sacrifice three other creatures: You may put a creature card from your hand onto the battlefield. Activate only as a sorcery and only once each turn.","B,R",4.0,rare,Outlaws of Thunder Junction,2024-04-19,5,5,"Flying,Trample",https://cards.scryfall.io/normal/front/6/8/68fd8548-50db-4243-9154-377f32408d58.jpg?1712356029
Alacrian Armory,Artifact,"Creatures you control get +0/+1 and have vigilance.
At the beginning of combat on your turn, choose up to one target Mount or Vehicle you control. Until end of turn, that permanent becomes saddled if it's a Mount and becomes an artifact creature if it's a Vehicle.",W,4.0,uncommon,Aetherdrift,2025-02-14,,,,https://cards.scryfall.io/normal/front/d/3/d39f7f98-ad5e-4e5e-9f7b-abe0984ffe17.jpg?1738356107
Alacrian Jaguar,Creature — Cat Mount,"Vigilance
Whenever this creature attacks while saddled, it gets +2/+2 until end of turn.
Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",G,5.0,common,Aetherdrift,2025-02-14,4,4,"Saddle,Vigilance",https://cards.scryfall.io/normal/front/2/b/2bd40bca-aa54-4e52-8d48-b3709a11e633.jpg?1738356479
"Alania, Divergent Storm",Legendary Creature — Otter Wizard,"Whenever you cast a spell, if it's the first instant spell, the first sorcery spell, or the first Otter spell other than Alania you've cast this turn, you may have target opponent draw a card. If you do, copy that spell. You may choose new targets for the copy.","R,U",5.0,rare,Bloomburrow,2024-08-02,3,5,,https://cards.scryfall.io/normal/front/4/3/436d6a84-4cea-4ca7-94aa-9d08280652af.jpg?1721426997
Alania's Pathmaker,Creature — Otter Wizard,"When this creature enters, exile the top card of your library. Until the end of your next turn, you may play that card.",R,4.0,common,Bloomburrow,2024-08-02,4,2,,https://cards.scryfall.io/normal/front/d/3/d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1.jpg?1721426565
Al Bhed Salvagers,Creature — Human Artificer Warrior,"Whenever this creature or another creature or artifact you control dies, target opponent loses 1 life and you gain 1 life.",B,3.0,uncommon,Final Fantasy,2025-06-13,2,3,,https://cards.scryfall.io/normal/front/5/8/58ccdcfc-a669-480f-bded-4273cfaf2045.jpg?1748706093
Alchemist's Assistant,Creature — Monkey,"Lifelink
Renew — {1}{B}, Exile this card from your graveyard: Put a lifelink counter on target creature. Activate only as a sorcery.",B,2.0,uncommon,Tarkir: Dragonstorm,2025-04-11,2,1,"Lifelink,Renew",https://cards.scryfall.io/normal/front/4/d/4d305609-64f8-4f3f-bf67-cd5257f0d01e.jpg?1743204244
Alesha's Legacy,Instant,"Target creature you control gains deathtouch and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",B,2.0,common,Tarkir: Dragonstorm,2025-04-11,,,,https://cards.scryfall.io/normal/front/a/9/a9262bf6-df6a-446c-ba70-18270a09842d.jpg?1743204249
"Alesha, Who Laughs at Fate",Legendary Creature — Human Warrior,"First strike
Whenever Alesha attacks, put a +1/+1 counter on it.
Raid — At the beginning of your end step, if you attacked this turn, return target creature card with mana value less than or equal to Alesha's power from your graveyard to the battlefield.","B,R",3.0,rare,Foundations,2024-11-15,2,2,"First strike,Raid",https://cards.scryfall.io/normal/front/a/9/a93e3406-4e29-4bc0-ae52-cbd2ac1f99a4.jpg?1730489026
Alien Symbiosis,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1, has menace, and is a Symbiote in addition to its other types.
You may cast this card from your graveyard by discarding a card in addition to paying its other costs.",B,2.0,uncommon,Marvel's Spider-Man,2025-09-26,,,Enchant,https://cards.scryfall.io/normal/front/b/8/b898ccb7-758e-4f11-95e0-b412721d8bf9.jpg?1757377060
Alley Assailant,Creature — Vampire Rogue,"This creature enters tapped.
Disguise {4}{B}{B} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, target opponent loses 3 life and you gain 3 life.",B,3.0,common,Murders at Karlov Manor,2024-02-09,3,3,Disguise,https://cards.scryfall.io/normal/front/e/d/edf238c9-61de-4f3a-b82f-05af46e5e81b.jpg?1706241664
All-Fates Scroll,Artifact,"{T}: Add one mana of any color.
{7}, {T}, Sacrifice this artifact: Draw X cards, where X is the number of differently named lands you control.",Colorless,3.0,uncommon,Edge of Eternities,2025-08-01,,,,https://cards.scryfall.io/normal/front/3/a/3a5ed010-cb17-45df-b169-ebc807dae534.jpg?1752947516
All-Fates Stalker,Creature — Drix Assassin,"When this creature enters, exile up to one target non-Assassin creature until this creature leaves the battlefield.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",W,4.0,uncommon,Edge of Eternities,2025-08-01,2,3,Warp,https://cards.scryfall.io/normal/front/8/2/82ae4f7b-8122-4af6-8079-888eabf1a11e.jpg?1752946565
All-Out Assault,Enchantment,"Creatures you control get +1/+1 and have deathtouch.
When this enchantment enters, if it's your main phase, there is an additional combat phase after this phase followed by an additional main phase. When you next attack this turn, untap each creature you control.","B,R,W",5.0,mythic,Tarkir: Dragonstorm,2025-04-11,,,,https://cards.scryfall.io/normal/front/b/7/b74876d8-f6a6-4b47-b960-b01a331bab01.jpg?1743204636
Aloe Alchemist,Creature — Plant Warlock,"Trample
When this card becomes plotted, target creature gets +3/+2 and gains trample until end of turn.
Plot {1}{G} (You may pay {1}{G} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",G,2.0,uncommon,Outlaws of Thunder Junction,2024-04-19,3,2,"Plot,Trample",https://cards.scryfall.io/normal/front/6/9/69f2f632-b6cc-4092-acd5-a6b152e90488.jpg?1712355875
"Alpharael, Dreaming Acolyte",Legendary Creature — Human Cleric,"When Alpharael enters, draw two cards. Then discard two cards unless you discard an artifact card.
During your turn, Alpharael has deathtouch.","B,U",3.0,uncommon,Edge of Eternities,2025-08-01,2,3,,https://cards.scryfall.io/normal/front/3/4/349a2211-2b23-418d-a1ef-1c72ad2e171d.jpg?1752947420
"Alpharael, Stonechosen",Legendary Creature — Human Cleric,"Ward—Discard a card at random.
Void — Whenever Alpharael attacks, if a nonland permanent left the battlefield this turn or a spell was warped this turn, defending player loses half their life, rounded up.",B,5.0,mythic,Edge of Eternities,2025-08-01,3,3,"Ward,Void",https://cards.scryfall.io/normal/front/3/3/33063d26-37f7-4e35-8da2-5770dfabdc41.jpg?1752946907
